customer_id,tenure_months,contract,monthly_charges,total_charges,tech_support,internet_service,payment_method,paperless_billing,support_tickets,churn
CUST-00000,29,One Year,119.98,3138.25,Yes,No,Electronic Check,Yes,1,1
CUST-00001,54,Month-to-Month,90.05,4852.2,Yes,Fiber Optic,Electronic Check,No,2,0
CUST-00002,7,Two Year,51.26,343.03,Yes,DSL,Mailed Check,Yes,0,0
CUST-00003,65,One Year,35.0,2158.75,No,No,Credit Card,Yes,0,0
CUST-00004,38,Month-to-Month,84.17,3172.19,Yes,Fiber Optic,Electronic Check,No,1,1
CUST-00005,44,Two Year,68.6,2822.71,No,DSL,Electronic Check,Yes,4,0
CUST-00006,14,One Year,34.28,470.08,No,Fiber Optic,Electronic Check,Yes,2,1
CUST-00007,39,One Year,80.71,3060.12,Yes,DSL,Electronic Check,Yes,0,0
CUST-00008,1,Month-to-Month,63.27,59.96,No,DSL,Mailed Check,Yes,1,1
CUST-00009,65,Month-to-Month,83.27,5290.57,Yes,DSL,Mailed Check,No,0,0
CUST-00010,54,Month-to-Month,81.04,4361.18,Yes,Fiber Optic,Bank Transfer,No,2,0
CUST-00011,33,Two Year,54.79,1663.53,Yes,DSL,Bank Transfer,Yes,0,0
CUST-00012,61,One Year,85.82,4720.68,No,DSL,Credit Card,No,1,0
CUST-00013,59,Two Year,57.55,3334.83,No,Fiber Optic,Credit Card,Yes,2,0
CUST-00014,9,Month-to-Month,59.18,500.85,Yes,DSL,Electronic Check,No,0,1
CUST-00015,4,Month-to-Month,56.69,216.43,Yes,Fiber Optic,Electronic Check,No,0,1
CUST-00016,19,One Year,98.27,1721.95,Yes,Fiber Optic,Mailed Check,No,1,0
CUST-00017,1,Month-to-Month,62.99,61.99,No,DSL,Bank Transfer,No,3,1
CUST-00018,42,Two Year,104.31,4258.88,Yes,DSL,Bank Transfer,No,0,0
CUST-00019,39,One Year,114.59,4448.17,No,DSL,Mailed Check,No,1,1
CUST-00020,39,One Year,51.53,1904.21,No,Fiber Optic,Credit Card,No,3,0
CUST-00021,6,Month-to-Month,15.0,89.79,Yes,No,Mailed Check,No,0,1
CUST-00022,67,Two Year,96.11,6124.39,No,DSL,Credit Card,Yes,0,0
CUST-00023,71,Two Year,61.45,4197.78,No,DSL,Credit Card,No,1,0
CUST-00024,43,One Year,48.35,2011.3,No,DSL,Mailed Check,No,0,0
CUST-00025,1,Month-to-Month,55.28,52.46,No,Fiber Optic,Electronic Check,No,1,1
CUST-00026,29,Month-to-Month,59.63,1653.66,No,DSL,Electronic Check,No,1,1
CUST-00027,52,Month-to-Month,102.43,4912.67,No,Fiber Optic,Mailed Check,Yes,1,0
CUST-00028,54,Month-to-Month,74.0,3741.2,Yes,Fiber Optic,Credit Card,Yes,1,0
CUST-00029,18,One Year,102.09,1782.86,No,DSL,Credit Card,Yes,1,1
CUST-00030,60,One Year,82.36,4466.71,Yes,Fiber Optic,Electronic Check,Yes,1,0
CUST-00031,70,Two Year,62.27,4228.31,Yes,No,Electronic Check,No,1,0
CUST-00032,37,Month-to-Month,60.24,2073.7,No,DSL,Credit Card,Yes,3,0
CUST-00033,28,Month-to-Month,84.04,2181.77,Yes,Fiber Optic,Bank Transfer,Yes,2,1
CUST-00034,38,Month-to-Month,90.51,3333.96,Yes,Fiber Optic,Bank Transfer,Yes,1,1
CUST-00035,2,Month-to-Month,94.92,174.94,Yes,DSL,Electronic Check,No,3,1
CUST-00036,38,Month-to-Month,63.46,2402.24,No,Fiber Optic,Electronic Check,Yes,3,1
CUST-00037,2,Month-to-Month,74.38,148.62,No,DSL,Electronic Check,Yes,2,1
CUST-00038,3,Month-to-Month,84.6,240.05,Yes,DSL,Electronic Check,Yes,2,1
CUST-00039,40,One Year,60.4,2271.38,No,Fiber Optic,Mailed Check,Yes,4,0
CUST-00040,37,Month-to-Month,41.63,1398.45,No,No,Electronic Check,No,1,0
CUST-00041,72,Two Year,49.84,3508.89,Yes,DSL,Mailed Check,No,2,0
CUST-00042,37,One Year,63.97,2168.72,No,Fiber Optic,Credit Card,Yes,3,0
CUST-00043,71,Month-to-Month,86.56,6104.61,Yes,DSL,Electronic Check,No,0,0
CUST-00044,59,Two Year,101.47,5981.1,No,Fiber Optic,Credit Card,No,0,0
CUST-00045,25,Two Year,36.1,823.3,No,Fiber Optic,Electronic Check,Yes,0,0
CUST-00046,67,Month-to-Month,55.07,3572.73,Yes,Fiber Optic,Bank Transfer,Yes,3,0
CUST-00047,35,Month-to-Month,61.05,2022.65,No,No,Electronic Check,Yes,2,1
CUST-00048,43,One Year,89.87,3687.09,Yes,Fiber Optic,Credit Card,Yes,2,0
CUST-00049,8,Month-to-Month,56.8,417.12,No,DSL,Electronic Check,Yes,2,1
CUST-00050,16,Month-to-Month,59.26,921.95,Yes,No,Mailed Check,No,0,0
CUST-00051,38,Month-to-Month,34.7,1208.71,No,DSL,Credit Card,Yes,0,1
CUST-00052,20,One Year,82.09,1622.97,No,Fiber Optic,Electronic Check,No,1,0
CUST-00053,44,One Year,65.97,2744.19,Yes,Fiber Optic,Bank Transfer,Yes,2,0
CUST-00054,6,One Year,53.65,310.15,No,No,Bank Transfer,Yes,3,1
CUST-00055,19,One Year,63.51,1197.25,Yes,Fiber Optic,Electronic Check,No,1,0
CUST-00056,48,Month-to-Month,98.17,4588.67,No,Fiber Optic,Electronic Check,No,3,1
CUST-00057,45,One Year,44.88,1926.87,No,Fiber Optic,Credit Card,No,3,0
CUST-00058,71,Month-to-Month,48.96,3268.52,Yes,Fiber Optic,Credit Card,Yes,0,0
CUST-00059,65,Month-to-Month,101.31,6230.96,Yes,No,Electronic Check,Yes,2,1
CUST-00060,59,One Year,71.89,3962.28,Yes,DSL,Credit Card,Yes,0,0
CUST-00061,1,Month-to-Month,86.74,86.27,No,DSL,Credit Card,Yes,2,1
CUST-00062,44,One Year,80.04,3258.63,No,Fiber Optic,Bank Transfer,Yes,3,0
CUST-00063,17,One Year,69.12,1105.64,Yes,DSL,Credit Card,No,1,0
CUST-00064,20,One Year,61.29,1198.61,Yes,No,Electronic Check,Yes,1,0
